dataset,fold,method,train_accuracy,test_accuracy,gap,f1,train_time
iris,0,XGB_default,1.0,0.9667,0.0333,0.9666,0.0314
iris,0,XGB_tuned,0.9667,0.9667,0.0,0.9666,0.0254
iris,0,RF_default,1.0,0.9667,0.0333,0.9666,0.0769
iris,0,AdaPrune_gap,0.975,1.0,-0.025,1.0,0.183
iris,0,AdaPrune_trend,0.975,1.0,-0.025,1.0,0.1812
iris,0,AdaPrune_data,0.975,1.0,-0.025,1.0,0.1797
iris,0,AdaPrune_hybrid,0.975,1.0,-0.025,1.0,0.1753
iris,1,XGB_default,1.0,0.9667,0.0333,0.9666,0.0378
iris,1,XGB_tuned,0.975,0.9667,0.0083,0.9666,0.0333
iris,1,RF_default,1.0,0.9667,0.0333,0.9666,0.0873
iris,1,AdaPrune_gap,0.9833,0.9667,0.0167,0.9666,0.1782
iris,1,AdaPrune_trend,0.9833,0.9667,0.0167,0.9666,0.1799
iris,1,AdaPrune_data,0.9833,0.9667,0.0167,0.9666,0.1787
iris,1,AdaPrune_hybrid,0.9833,0.9667,0.0167,0.9666,0.1767
iris,2,XGB_default,1.0,0.9,0.1,0.895,0.032
iris,2,XGB_tuned,0.9917,0.9,0.0917,0.895,0.0261
iris,2,RF_default,1.0,0.9333,0.0667,0.9327,0.0769
iris,2,AdaPrune_gap,0.9917,0.9333,0.0583,0.9333,0.1796
iris,2,AdaPrune_trend,0.9917,0.9333,0.0583,0.9333,0.1908
iris,2,AdaPrune_data,0.9917,0.9333,0.0583,0.9333,0.1823
iris,2,AdaPrune_hybrid,0.9917,0.9333,0.0583,0.9333,0.184
iris,3,XGB_default,1.0,0.9667,0.0333,0.9666,0.0345
iris,3,XGB_tuned,0.9833,0.9667,0.0167,0.9666,0.0205
iris,3,RF_default,1.0,0.9667,0.0333,0.9666,0.0805
iris,3,AdaPrune_gap,0.9917,1.0,-0.0083,1.0,0.1921
iris,3,AdaPrune_trend,0.9917,1.0,-0.0083,1.0,0.1875
iris,3,AdaPrune_data,0.9917,1.0,-0.0083,1.0,0.1871
iris,3,AdaPrune_hybrid,0.9917,1.0,-0.0083,1.0,0.1819
iris,4,XGB_default,1.0,0.9,0.1,0.8997,0.028
iris,4,XGB_tuned,0.9833,0.9,0.0833,0.8997,0.0225
iris,4,RF_default,1.0,0.9,0.1,0.8997,0.0757
iris,4,AdaPrune_gap,0.9917,0.9333,0.0583,0.9333,0.1857
iris,4,AdaPrune_trend,0.9917,0.9333,0.0583,0.9333,0.1814
iris,4,AdaPrune_data,0.9917,0.9333,0.0583,0.9333,0.1825
iris,4,AdaPrune_hybrid,0.9917,0.9333,0.0583,0.9333,0.1861
synthetic_easy,0,XGB_default,1.0,0.9475,0.0525,0.9475,0.0549
synthetic_easy,0,XGB_tuned,1.0,0.945,0.055,0.945,0.046
synthetic_easy,0,RF_default,1.0,0.935,0.065,0.935,0.2685
synthetic_easy,0,AdaPrune_gap,0.9663,0.9225,0.0438,0.9225,1.5844
synthetic_easy,0,AdaPrune_trend,0.9681,0.91,0.0581,0.91,1.7085
synthetic_easy,0,AdaPrune_data,0.9569,0.9125,0.0444,0.9125,1.5084
synthetic_easy,0,AdaPrune_hybrid,0.9656,0.9275,0.0381,0.9275,1.6153
synthetic_easy,1,XGB_default,1.0,0.9425,0.0575,0.9425,0.059
synthetic_easy,1,XGB_tuned,1.0,0.94,0.06,0.94,0.0506
synthetic_easy,1,RF_default,1.0,0.9225,0.0775,0.9225,0.262
synthetic_easy,1,AdaPrune_gap,0.9794,0.91,0.0694,0.91,1.7344
synthetic_easy,1,AdaPrune_trend,0.9762,0.9125,0.0637,0.9125,1.6968
synthetic_easy,1,AdaPrune_data,0.9794,0.91,0.0694,0.91,1.7265
synthetic_easy,1,AdaPrune_hybrid,0.9794,0.91,0.0694,0.91,1.7304
synthetic_easy,2,XGB_default,1.0,0.94,0.06,0.94,0.0635
synthetic_easy,2,XGB_tuned,1.0,0.9375,0.0625,0.9375,0.0476
synthetic_easy,2,RF_default,1.0,0.9,0.1,0.9,0.2603
synthetic_easy,2,AdaPrune_gap,0.98,0.8825,0.0975,0.8825,1.7181
synthetic_easy,2,AdaPrune_trend,0.98,0.8825,0.0975,0.8825,1.7217
synthetic_easy,2,AdaPrune_data,0.98,0.8825,0.0975,0.8825,1.7791
synthetic_easy,2,AdaPrune_hybrid,0.98,0.8825,0.0975,0.8825,1.7805
synthetic_easy,3,XGB_default,1.0,0.935,0.065,0.935,0.0647
synthetic_easy,3,XGB_tuned,1.0,0.925,0.075,0.925,0.0545
synthetic_easy,3,RF_default,1.0,0.9075,0.0925,0.9075,0.2739
synthetic_easy,3,AdaPrune_gap,0.9788,0.9025,0.0763,0.9025,1.7625
synthetic_easy,3,AdaPrune_trend,0.9788,0.9025,0.0763,0.9025,1.7651
synthetic_easy,3,AdaPrune_data,0.975,0.895,0.08,0.895,1.7648
synthetic_easy,3,AdaPrune_hybrid,0.9756,0.9125,0.0631,0.9125,1.724
synthetic_easy,4,XGB_default,1.0,0.9075,0.0925,0.9075,0.0573
synthetic_easy,4,XGB_tuned,1.0,0.9175,0.0825,0.9175,0.0463
synthetic_easy,4,RF_default,1.0,0.8925,0.1075,0.8925,0.2624
synthetic_easy,4,AdaPrune_gap,0.9788,0.895,0.0837,0.895,1.7784
synthetic_easy,4,AdaPrune_trend,0.9788,0.895,0.0837,0.895,1.7632
synthetic_easy,4,AdaPrune_data,0.9788,0.895,0.0837,0.895,1.7603
synthetic_easy,4,AdaPrune_hybrid,0.9756,0.9,0.0756,0.9,1.8552
synthetic_noisy,0,XGB_default,1.0,0.86,0.14,0.86,0.0747
synthetic_noisy,0,XGB_tuned,1.0,0.86,0.14,0.86,0.0574
synthetic_noisy,0,RF_default,1.0,0.9,0.1,0.9,0.1849
synthetic_noisy,0,AdaPrune_gap,0.9113,0.855,0.0563,0.8548,0.7464
synthetic_noisy,0,AdaPrune_trend,0.94,0.83,0.11,0.8299,0.7942
synthetic_noisy,0,AdaPrune_data,0.9075,0.845,0.0625,0.8448,0.7109
synthetic_noisy,0,AdaPrune_hybrid,0.9062,0.855,0.0513,0.8548,0.7237
synthetic_noisy,1,XGB_default,1.0,0.82,0.18,0.82,0.0581
synthetic_noisy,1,XGB_tuned,1.0,0.82,0.18,0.82,0.0469
synthetic_noisy,1,RF_default,1.0,0.8,0.2,0.7999,0.1732
synthetic_noisy,1,AdaPrune_gap,0.9287,0.795,0.1337,0.7943,0.7211
synthetic_noisy,1,AdaPrune_trend,0.9425,0.785,0.1575,0.7847,0.7933
synthetic_noisy,1,AdaPrune_data,0.91,0.8,0.11,0.7998,0.6899
synthetic_noisy,1,AdaPrune_hybrid,0.9237,0.805,0.1187,0.8049,0.701
synthetic_noisy,2,XGB_default,1.0,0.83,0.17,0.8293,0.0542
synthetic_noisy,2,XGB_tuned,1.0,0.845,0.155,0.8438,0.0386
synthetic_noisy,2,RF_default,1.0,0.87,0.13,0.8696,0.1739
synthetic_noisy,2,AdaPrune_gap,0.9537,0.84,0.1138,0.8397,0.8029
synthetic_noisy,2,AdaPrune_trend,0.9487,0.84,0.1088,0.8397,0.7957
synthetic_noisy,2,AdaPrune_data,0.9525,0.825,0.1275,0.8244,0.7921
synthetic_noisy,2,AdaPrune_hybrid,0.9513,0.82,0.1313,0.8195,0.8188
synthetic_noisy,3,XGB_default,1.0,0.82,0.18,0.82,0.063
synthetic_noisy,3,XGB_tuned,1.0,0.8,0.2,0.8,0.0545
synthetic_noisy,3,RF_default,1.0,0.85,0.15,0.85,0.1916
synthetic_noisy,3,AdaPrune_gap,0.95,0.81,0.14,0.81,0.7941
synthetic_noisy,3,AdaPrune_trend,0.95,0.81,0.14,0.81,0.8037
synthetic_noisy,3,AdaPrune_data,0.9325,0.815,0.1175,0.815,0.7784
synthetic_noisy,3,AdaPrune_hybrid,0.9313,0.815,0.1163,0.815,0.7886
synthetic_noisy,4,XGB_default,1.0,0.81,0.19,0.81,0.0529
synthetic_noisy,4,XGB_tuned,1.0,0.805,0.195,0.805,0.0578
synthetic_noisy,4,RF_default,1.0,0.835,0.165,0.835,0.1839
