method,accuracy,f1,auc,train_time
AdaPrune_dataaware,0.9087834367991904,0.9006407956208324,,2.622545679410299
AdaPrune_gap,0.8517775864960008,0.821760612932996,,1.8128453731536864
AdaPrune_hybrid,0.897167592991806,0.8766786023519619,,2.611904565493266
AdaPrune_trend,0.9294562853965813,0.9285199913432044,,2.6820435603459676
LGBM_default,0.8761203806107278,0.8749691790101314,,0.12109057903289795
RF_default,0.867458742237592,0.8658806183428939,,0.7202192942301432
RF_tuned,0.8698282812790179,0.8674692366373883,,0.5202775319417318
XGB_default,0.8703570008751754,0.8690691598523507,,0.08151512145996094
XGB_tuned,0.8653907055223595,0.8641737015754755,,0.060938183466593424
