dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
adult,0,RF_default,0.8566895280990889,0.9998208481560157,0.14313132005692675,0.8526998184275492,0.9031454364470206,0.25933051109313965
adult,0,XGB_default,0.8696898351929573,0.9004939472269854,0.03080411203402811,0.8660740438603581,0.9239618116555401,0.19291901588439941
adult,0,XGB_tuned,0.8687685535878801,0.8842935019066874,0.015524948318807352,0.8643250166955547,0.9247555698914184,0.07918167114257812
adult,0,XGB_early_stop,0.870713481420821,0.8927904179356589,0.022076936514837997,0.8667656002955441,0.9269422974225725,0.23969221115112305
adult,0,LGBM_default,0.8694851059473846,0.8860338341053925,0.016548728158007897,0.8651284369331889,0.9259631725648421,2.5107810497283936
adult,0,LGBM_early_stop,0.8722489507626164,0.8926880454533821,0.020439094690765658,0.8683599456226465,0.9261778076006703,0.20469141006469727
adult,0,AdaPrune,0.8685638243423073,0.8843446881478259,0.015780863805518575,0.8640120416811153,0.9252941720227578,0.24980521202087402
adult,1,RF_default,0.8597604667826799,0.999872034397154,0.14011156761447408,0.8554649555919814,0.9083792159610649,0.27086472511291504
adult,1,XGB_default,0.8754222540689938,0.8984720907020193,0.02304983663302551,0.871571316561192,0.9266389362114343,0.0800023078918457
adult,1,XGB_tuned,0.8765482649196438,0.8817341898497684,0.005185924930124597,0.8720328629527175,0.9276487108832109,0.07471776008605957
adult,1,XGB_early_stop,0.878288463507012,0.8886187392828807,0.010330275775868758,0.8741555738172679,0.9289755744293178,0.17905640602111816
adult,1,LGBM_default,0.8765482649196438,0.8832185908427814,0.006670325923137654,0.8724391883382915,0.9285758605633188,0.11164045333862305
adult,1,LGBM_early_stop,0.8765482649196438,0.885701123537993,0.009152858618349247,0.8725334631629996,0.928763299285275,0.17561054229736328
adult,1,AdaPrune,0.8758317125601393,0.8825275765874133,0.006695864027274068,0.8715915044441179,0.9282357483544935,0.2835397720336914
adult,2,RF_default,0.8612817362817363,0.9999488150688437,0.13866707878710738,0.8568861007922355,0.9099172665228129,0.27255678176879883
adult,2,XGB_default,0.8721334971334971,0.8998054972616062,0.02767200012810911,0.8686302534125684,0.9280602481353628,0.07018852233886719
adult,2,XGB_tuned,0.8726453726453727,0.8830168398423505,0.01037146719697779,0.8679592073137979,0.9279840370806657,0.07044219970703125
adult,2,XGB_early_stop,0.872952497952498,0.8919997952602754,0.019047297307777433,0.8689747394840902,0.9297148946459185,0.1926863193511963
adult,2,LGBM_default,0.8713144963144963,0.8853969391411168,0.014082442826620523,0.8670899539330416,0.9287047454755191,0.10789918899536133
adult,2,LGBM_early_stop,0.872031122031122,0.8869836720069612,0.014952549975839169,0.8678667156000909,0.92891863740047,0.1537933349609375
adult,2,AdaPrune,0.8732596232596233,0.8818651788913344,0.00860555563171117,0.8685462589888526,0.9283119144856109,0.2337963581085205
adult,3,RF_default,0.857084357084357,0.9998720376721093,0.14278768058775226,0.8523243356655651,0.9055132061636576,0.2776215076446533
adult,3,XGB_default,0.8752047502047502,0.900342939038747,0.025138188833996766,0.871202966362693,0.9306564625045354,0.07285547256469727
adult,3,XGB_tuned,0.8768427518427518,0.8827609151865691,0.005918163343817229,0.8720064501286533,0.9311126923393409,0.07743191719055176
adult,3,XGB_early_stop,0.8790950040950041,0.8910528740338844,0.011957869938880372,0.8748935104841354,0.9325679002492593,0.18950581550598145
adult,3,LGBM_default,0.8754095004095004,0.8844500179147259,0.009040517505225498,0.8709347199740732,0.9305571894721986,0.10469865798950195
adult,3,LGBM_early_stop,0.8771498771498771,0.8864718226953985,0.009321945545521348,0.8727495798627926,0.9306699369184372,0.1573193073272705
adult,3,AdaPrune,0.8741809991809992,0.8793827097302555,0.005201710549256222,0.8688342404793576,0.9292907385228368,0.20525646209716797
adult,4,RF_default,0.8525798525798526,0.9999232226032656,0.14734337002341302,0.8477824563713046,0.9059941678820991,0.2675347328186035
adult,4,XGB_default,0.8705978705978706,0.9003941239699033,0.02979625337203262,0.8673237785783618,0.9280704691117201,0.07096219062805176
adult,4,XGB_tuned,0.8748976248976249,0.8830168398423505,0.008119214944725561,0.870318863466858,0.9288758244657006,0.06511688232421875
adult,4,XGB_early_stop,0.8744881244881245,0.8899779904796028,0.01548986599147828,0.8708056399351746,0.9303666186482318,0.17708230018615723
adult,4,LGBM_default,0.8725429975429976,0.8854993090034294,0.012956311460431857,0.868504203310947,0.9289080709263204,0.10722613334655762
adult,4,LGBM_early_stop,0.872952497952498,0.8943287096278856,0.021376211675387613,0.8693546320263984,0.9295603419668049,0.2041006088256836
adult,4,AdaPrune,0.8727477477477478,0.8841173158622102,0.011369568114462436,0.8685459460862404,0.9293592334601712,0.26044249534606934
bank-marketing,0,RF_default,0.9052305650779608,0.999944702499447,0.09471413742148616,0.8970599594244382,0.9304990571878036,0.2760195732116699
bank-marketing,0,XGB_default,0.9068893066460245,0.9562596770625967,0.04937037041657222,0.9016226821116843,0.9331390497068581,0.0718843936920166
bank-marketing,0,XGB_tuned,0.9108702864093774,0.9294956867949569,0.01862540038557947,0.9046385650906883,0.9374333728292533,0.07148218154907227
bank-marketing,0,XGB_early_stop,0.9112020347229901,0.9412187569121876,0.030016722189197487,0.9059136416283355,0.9380588366893028,0.1847841739654541
bank-marketing,0,LGBM_default,0.9112020347229901,0.9318458305684583,0.02064379584546816,0.905321520278003,0.9383076491483915,0.10810160636901855
bank-marketing,0,LGBM_early_stop,0.9117549485790114,0.9416334881663349,0.02987853958732345,0.9063296189459996,0.93879414734385,0.20212149620056152
bank-marketing,0,AdaPrune,0.910206789782152,0.9330347268303473,0.0228279370481953,0.9041334160100317,0.9364426210297426,0.4394245147705078
bank-marketing,1,RF_default,0.90278699402787,0.9999723520141558,0.0971853579862858,0.893790651395659,0.9292884778638282,0.27846479415893555
bank-marketing,1,XGB_default,0.9062154390621544,0.9565373662528684,0.050321927190714044,0.900390592142586,0.9327850410152906,0.07524704933166504
bank-marketing,1,XGB_tuned,0.9051094890510949,0.9327048024551411,0.027595313404046196,0.8988980095888485,0.935877167987043,0.07835054397583008
bank-marketing,1,XGB_early_stop,0.9046671090466711,0.9414415659819182,0.03677445693524706,0.8981569012152087,0.9364641247277149,0.17392373085021973
bank-marketing,1,LGBM_default,0.9075425790754258,0.9322900826674777,0.02474750359205191,0.9018001592349077,0.9377252405023848,0.1087183952331543
bank-marketing,1,LGBM_early_stop,0.9086485290864853,0.9392020791285355,0.03055355004205018,0.9029747984785094,0.9380223917954016,0.17493867874145508
bank-marketing,1,AdaPrune,0.9054412740544128,0.925626918079018,0.02018564402460521,0.8976813860577246,0.9315473253125391,0.25251245498657227
bank-marketing,2,RF_default,0.9045565140455651,1.0,0.09544348595443486,0.8961517049278246,0.9242346933943502,0.27349257469177246
bank-marketing,2,XGB_default,0.9030081840300819,0.9563714783378031,0.05336329430772124,0.8982691853503891,0.9261363582552629,0.07567501068115234
bank-marketing,2,XGB_tuned,0.9061048440610484,0.9301335397716276,0.024028695710579195,0.9002021982708469,0.9294811267146769,0.0665433406829834
bank-marketing,2,XGB_early_stop,0.9052200840522009,0.9380132157372335,0.03279313168503262,0.8998847267343679,0.928722757424111,0.1636972427368164
bank-marketing,2,LGBM_default,0.9059942490599425,0.9327048024551411,0.026710553395198566,0.9014746349650476,0.9324359967572194,0.10563778877258301
bank-marketing,2,LGBM_early_stop,0.9067684140676842,0.930299427686693,0.02353101361900889,0.902017515893654,0.9325016999973481,0.1407177448272705
bank-marketing,2,AdaPrune,0.9038929440389294,0.9239956869142083,0.02010274287527891,0.8968127960476042,0.9255380444253345,0.2581303119659424
bank-marketing,3,RF_default,0.9095332890953329,0.9999723520141558,0.09043906291882287,0.8996737020694239,0.9307664241526532,0.26251673698425293
bank-marketing,3,XGB_default,0.9103074541030746,0.954684951201305,0.04437749709823047,0.9044686824245929,0.9333376109496878,0.0704047679901123
bank-marketing,3,XGB_tuned,0.913846494138465,0.9303547236583815,0.016508229519916484,0.9068372097708348,0.9376019880024699,0.07382035255432129
bank-marketing,3,XGB_early_stop,0.9117451891174518,0.9401144626613951,0.028369273543943252,0.9054733812932024,0.9375621517136352,0.18875622749328613
bank-marketing,3,LGBM_default,0.9104180491041804,0.930769443446045,0.020351394341864504,0.903156735916468,0.9385092846373276,0.10470962524414062
bank-marketing,3,LGBM_early_stop,0.9122981641229816,0.9432939810334817,0.03099581691050013,0.906090879221583,0.9386492739732775,0.20766663551330566
bank-marketing,3,AdaPrune,0.9111922141119222,0.928502308606818,0.017310094494895845,0.9035357102104478,0.9356932200885703,0.3002138137817383
bank-marketing,4,RF_default,0.90278699402787,1.0,0.09721300597213,0.8934327771091413,0.9234342385148369,0.2650613784790039
bank-marketing,4,XGB_default,0.9045565140455651,0.9573668058281954,0.0528102917826303,0.8996425371359462,0.9279628491387313,0.06858325004577637
bank-marketing,4,XGB_tuned,0.9078743640787437,0.9318200669081257,0.02394570282938202,0.9018772040193412,0.9295315583908839,0.07472801208496094
bank-marketing,4,XGB_early_stop,0.90687900906879,0.9391744311426913,0.03229542207390124,0.9012053651853692,0.9315513706998115,0.16189861297607422
bank-marketing,4,LGBM_default,0.9064366290643663,0.930658851502668,0.024222222438301744,0.9004244753148245,0.9298054402756363,0.10316824913024902
bank-marketing,4,LGBM_early_stop,0.907100199071002,0.924797478503691,0.01769727943268895,0.9007640414413691,0.9301691165885645,0.11566329002380371
bank-marketing,4,AdaPrune,0.9053306790533068,0.9251845503055103,0.019853871252203503,0.8978268405781564,0.9278100151152968,0.2677924633026123
credit-default,0,RF_default,0.8165,0.99925,0.18274999999999997,0.7970340105648561,0.7713650245244678,0.3676774501800537
credit-default,0,XGB_default,0.8125,0.886125,0.07362500000000005,0.7913446798922885,0.7722713950837596,0.0881338119506836
credit-default,0,XGB_tuned,0.8191666666666667,0.8439583333333334,0.024791666666666656,0.797308584718786,0.7911802657977801,0.08751130104064941
credit-default,0,XGB_early_stop,0.82,0.8380833333333333,0.01808333333333334,0.7972984394705315,0.7949943233980442,0.10300564765930176
credit-default,0,LGBM_default,0.819,0.842,0.02300000000000002,0.7975640957200778,0.7871346795572702,0.0938420295715332
credit-default,0,LGBM_early_stop,0.8206666666666667,0.82775,0.00708333333333333,0.7989409123663789,0.7940888393041344,0.08314347267150879
credit-default,0,AdaPrune,0.8185,0.8233333333333334,0.004833333333333356,0.7892422442334305,0.7885540718094983,0.21029305458068848
credit-default,1,RF_default,0.8133333333333334,0.9992916666666667,0.18595833333333334,0.794683288975047,0.7617076147007509,0.3609168529510498
credit-default,1,XGB_default,0.8098333333333333,0.8840416666666666,0.07420833333333332,0.7905965897284907,0.7628799928270455,0.0897667407989502
credit-default,1,XGB_tuned,0.8203333333333334,0.8455416666666666,0.025208333333333277,0.8002722993320392,0.7786600895232454,0.08315753936767578
credit-default,1,XGB_early_stop,0.8171666666666667,0.8374583333333333,0.020291666666666597,0.7953372255776694,0.7808410031105917,0.09468364715576172
