dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
adult,0,RF_default,0.8566895280990889,0.9998208481560157,0.14313132005692675,0.8526998184275492,0.9031459544720468,0.2609395980834961
adult,0,XGB_default,0.8696898351929573,0.9004939472269854,0.03080411203402811,0.8660740438603581,0.9239618116555401,0.22171545028686523
adult,0,XGB_tuned,0.8687685535878801,0.8842935019066874,0.015524948318807352,0.8643250166955547,0.9247555698914184,0.10316252708435059
adult,0,XGB_early_stop,0.870713481420821,0.8927904179356589,0.022076936514837997,0.8667656002955441,0.9269422974225725,0.3239023685455322
adult,0,LGBM_default,0.8694851059473846,0.8860338341053925,0.016548728158007897,0.8651284369331889,0.9259631725648421,2.547753095626831
adult,0,LGBM_early_stop,0.8722489507626164,0.8926880454533821,0.020439094690765658,0.8683599456226465,0.9261778076006703,0.21774530410766602
adult,0,AdaPrune_gap,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,13.959455251693726
adult,0,AdaPrune_trend,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,13.849135160446167
adult,0,AdaPrune_data,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,13.914104223251343
adult,0,AdaPrune_hybrid,0.8670283550005118,0.8794308089985412,0.012402453998029417,0.8618365565316783,0.91949065131747,13.914755821228027
adult,1,RF_default,0.8597604667826799,0.999872034397154,0.14011156761447408,0.8554649555919814,0.9083792159610649,0.26264047622680664
adult,1,XGB_default,0.8754222540689938,0.8984720907020193,0.02304983663302551,0.871571316561192,0.9266389362114343,0.07735276222229004
adult,1,XGB_tuned,0.8765482649196438,0.8817341898497684,0.005185924930124597,0.8720328629527175,0.9276487108832109,0.07300615310668945
adult,1,XGB_early_stop,0.878288463507012,0.8886187392828807,0.010330275775868758,0.8741555738172679,0.9289755744293178,0.17531657218933105
adult,1,LGBM_default,0.8765482649196438,0.8832185908427814,0.006670325923137654,0.8724391883382915,0.9285758605633188,0.11277532577514648
adult,1,LGBM_early_stop,0.8765482649196438,0.885701123537993,0.009152858618349247,0.8725334631629996,0.928763299285275,0.16707491874694824
adult,1,AdaPrune_gap,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,13.983138799667358
adult,1,AdaPrune_trend,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,13.935579776763916
adult,1,AdaPrune_data,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,13.819422960281372
adult,1,AdaPrune_hybrid,0.8730678677449074,0.8779975942466665,0.004929726501759046,0.8679213862621863,0.9227082486506313,13.899838924407959
adult,2,RF_default,0.8612817362817363,0.9999488150688437,0.13866707878710738,0.8568861007922355,0.9099172665228129,0.25807952880859375
adult,2,XGB_default,0.8721334971334971,0.8998054972616062,0.02767200012810911,0.8686302534125684,0.9280602481353628,0.07886147499084473
adult,2,XGB_tuned,0.8726453726453727,0.8830168398423505,0.01037146719697779,0.8679592073137979,0.9279840370806657,0.0789639949798584
adult,2,XGB_early_stop,0.872952497952498,0.8919997952602754,0.019047297307777433,0.8689747394840902,0.9297148946459185,0.20694994926452637
adult,2,LGBM_default,0.8713144963144963,0.8853969391411168,0.014082442826620523,0.8670899539330416,0.9287047454755191,0.1116025447845459
adult,2,LGBM_early_stop,0.872031122031122,0.8869836720069612,0.014952549975839169,0.8678667156000909,0.92891863740047,0.16428852081298828
adult,2,AdaPrune_gap,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,13.956376075744629
adult,2,AdaPrune_trend,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,13.89397382736206
adult,2,AdaPrune_data,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,13.925482034683228
adult,2,AdaPrune_hybrid,0.8696764946764947,0.8786405282284895,0.008964033551994821,0.8642706735141306,0.9239215876637019,14.092419385910034
adult,3,RF_default,0.857084357084357,0.9998720376721093,0.14278768058775226,0.8523243356655651,0.9055132061636576,0.2567453384399414
adult,3,XGB_default,0.8752047502047502,0.900342939038747,0.025138188833996766,0.871202966362693,0.9306564625045354,0.08268284797668457
adult,3,XGB_tuned,0.8768427518427518,0.8827609151865691,0.005918163343817229,0.8720064501286533,0.9311126923393409,0.06539630889892578
adult,3,XGB_early_stop,0.8790950040950041,0.8910528740338844,0.011957869938880372,0.8748935104841354,0.9325679002492593,0.19730401039123535
adult,3,LGBM_default,0.8754095004095004,0.8844500179147259,0.009040517505225498,0.8709347199740732,0.9305571894721986,0.10584259033203125
adult,3,LGBM_early_stop,0.8771498771498771,0.8864718226953985,0.009321945545521348,0.8727495798627926,0.9306699369184372,0.1667461395263672
adult,3,AdaPrune_gap,0.8709049959049959,0.8778983467267236,0.006993350821727695,0.8647773845991115,0.9231527399097803,14.021055459976196
adult,3,AdaPrune_trend,0.8709049959049959,0.8778983467267236,0.006993350821727695,0.8647773845991115,0.9231527399097803,13.909825086593628
adult,3,AdaPrune_data,0.8709049959049959,0.8778983467267236,0.006993350821727695,0.8647773845991115,0.9231527399097803,15.164202213287354
