method,accuracy_mean,accuracy_std,train_accuracy_mean,train_accuracy_std,gap_mean,gap_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_mean,rank
LGBM_early_stop,0.8994,0.0784,0.9646,0.0512,0.0653,0.0673,0.895,0.0827,0.938,0.0749,0.2762,1.0
XGB_early_stop,0.8958,0.0773,0.9666,0.0455,0.0709,0.0676,0.8915,0.0815,0.9364,0.0747,0.3658,2.0
LGBM_default,0.8933,0.0779,0.9709,0.0463,0.0777,0.0823,0.8902,0.0805,0.9333,0.0788,0.2281,3.0
XGB_default,0.8915,0.0794,0.982,0.0332,0.0906,0.0805,0.8884,0.0821,0.9323,0.0801,0.1468,4.0
RF_default,0.89,0.0767,0.9994,0.0023,0.1095,0.0765,0.8854,0.0811,0.936,0.0735,0.2045,5.0
XGB_tuned,0.8874,0.0756,0.9614,0.0457,0.0739,0.0764,0.8837,0.0786,0.9329,0.0745,0.1485,6.0
AdaPrune,0.8686,0.0786,0.9193,0.0543,0.0507,0.0604,0.8596,0.087,0.9063,0.0808,0.1695,7.0
