dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
adult,0,RF_default,0.8566895280990889,0.9998208481560157,0.14313132005692675,0.8526998184275492,0.9031459544720468,0.2744152545928955
adult,0,XGB_default,0.8696898351929573,0.9004939472269854,0.03080411203402811,0.8660740438603581,0.9239618116555401,0.19595837593078613
adult,0,XGB_tuned,0.8687685535878801,0.8842935019066874,0.015524948318807352,0.8643250166955547,0.9247555698914184,0.08297562599182129
adult,0,XGB_early_stop,0.870713481420821,0.8927904179356589,0.022076936514837997,0.8667656002955441,0.9269422974225725,0.2603473663330078
adult,0,LGBM_default,0.8694851059473846,0.8860338341053925,0.016548728158007897,0.8651284369331889,0.9259631725648421,2.5063252449035645
adult,0,LGBM_early_stop,0.8722489507626164,0.8926880454533821,0.020439094690765658,0.8683599456226465,0.9261778076006703,0.2017192840576172
adult,0,AdaPrune,0.8685638243423073,0.8843446881478259,0.015780863805518575,0.8640120416811153,0.9252941720227578,0.24472379684448242
adult,1,RF_default,0.8597604667826799,0.999872034397154,0.14011156761447408,0.8554649555919814,0.9083792159610649,0.2631237506866455
adult,1,XGB_default,0.8754222540689938,0.8984720907020193,0.02304983663302551,0.871571316561192,0.9266389362114343,0.06871366500854492
adult,1,XGB_tuned,0.8765482649196438,0.8817341898497684,0.005185924930124597,0.8720328629527175,0.9276487108832109,0.06634521484375
adult,1,XGB_early_stop,0.878288463507012,0.8886187392828807,0.010330275775868758,0.8741555738172679,0.9289755744293178,0.1777644157409668
adult,1,LGBM_default,0.8765482649196438,0.8832185908427814,0.006670325923137654,0.8724391883382915,0.9285758605633188,0.10597085952758789
adult,1,LGBM_early_stop,0.8765482649196438,0.885701123537993,0.009152858618349247,0.8725334631629996,0.928763299285275,0.160597562789917
adult,1,AdaPrune,0.8758317125601393,0.8825275765874133,0.006695864027274068,0.8715915044441179,0.9282357483544935,0.26291751861572266
adult,2,RF_default,0.8612817362817363,0.9999488150688437,0.13866707878710738,0.8568861007922355,0.9099172665228129,0.27118635177612305
adult,2,XGB_default,0.8721334971334971,0.8998054972616062,0.02767200012810911,0.8686302534125684,0.9280602481353628,0.06637382507324219
adult,2,XGB_tuned,0.8726453726453727,0.8830168398423505,0.01037146719697779,0.8679592073137979,0.9279840370806657,0.07468676567077637
adult,2,XGB_early_stop,0.872952497952498,0.8919997952602754,0.019047297307777433,0.8689747394840902,0.9297148946459185,0.19718289375305176
adult,2,LGBM_default,0.8713144963144963,0.8853969391411168,0.014082442826620523,0.8670899539330416,0.9287047454755191,0.10386443138122559
