dataset,fold,method,accuracy,f1,auc,train_time
adult,3,AdaPrune_hybrid,0.8803235053235053,0.8755281322095618,,7.502577543258667
adult,3,AdaPrune_gap,0.8798116298116299,0.8749836890648929,,7.598898649215698
adult,3,AdaPrune_trend,0.8815520065520066,0.8768533095958856,,7.473225116729736
adult,3,AdaPrune_dataaware,0.8802211302211302,0.875385583039033,,7.544064044952393
adult,3,XGB_default,0.8751023751023751,0.8711801278214406,,0.14301705360412598
adult,3,XGB_tuned,0.8754095004095004,0.8714379261401154,,0.11627316474914551
adult,3,LGBM_default,0.8754095004095004,0.8709347199740732,,0.10837244987487793
adult,3,RF_default,0.857084357084357,0.8523243356655651,,2.4950547218322754
adult,3,RF_tuned,0.8630221130221131,0.8540067028715593,,1.5941417217254639
adult,4,AdaPrune_hybrid,0.8795045045045045,0.8743347917355115,,7.4947638511657715
adult,4,AdaPrune_gap,0.879914004914005,0.8747373059054047,,7.514147520065308
adult,4,AdaPrune_trend,0.8792997542997543,0.8743662665477863,,7.540796756744385
adult,4,AdaPrune_dataaware,0.878992628992629,0.8740099511814692,,7.439903497695923
adult,4,XGB_default,0.8713144963144963,0.8677177668791428,,0.13993048667907715
adult,4,XGB_tuned,0.8731572481572482,0.8695651805646316,,0.09569191932678223
adult,4,LGBM_default,0.8725429975429976,0.868504203310947,,0.1141507625579834
adult,4,RF_default,0.8525798525798526,0.8477824563713046,,2.4401373863220215
adult,4,RF_tuned,0.8594389844389845,0.8501381676894897,,1.5724058151245117
diabetes,0,AdaPrune_hybrid,0.7402597402597403,0.7034907016758196,,0.14008855819702148
diabetes,0,AdaPrune_gap,0.6818181818181818,0.6551785328888996,,0.13659262657165527
diabetes,0,AdaPrune_trend,0.7662337662337663,0.7671782762691854,,0.20433783531188965
diabetes,0,AdaPrune_dataaware,0.7597402597402597,0.7554767899150163,,0.18028020858764648
diabetes,0,XGB_default,0.7272727272727273,0.7232230932973366,,0.04886794090270996
diabetes,0,XGB_tuned,0.7532467532467533,0.7532467532467533,,0.033501625061035156
diabetes,0,LGBM_default,0.7662337662337663,0.765185682988784,,0.044265031814575195
diabetes,0,RF_default,0.7922077922077922,0.7865535824719498,,0.12366843223571777
diabetes,0,RF_tuned,0.7727272727272727,0.7672901261418008,,0.09167814254760742
diabetes,1,AdaPrune_hybrid,0.6493506493506493,0.5112997238981491,,0.13429975509643555
diabetes,1,AdaPrune_gap,0.6493506493506493,0.5112997238981491,,0.1355440616607666
diabetes,1,AdaPrune_trend,0.8701298701298701,0.868905604199722,,0.20913934707641602
diabetes,1,AdaPrune_dataaware,0.8961038961038961,0.8917654228849298,,0.1352672576904297
diabetes,1,XGB_default,0.7532467532467533,0.7495827986975903,,0.04974055290222168
diabetes,1,XGB_tuned,0.7597402597402597,0.7568387094790126,,0.03507280349731445
diabetes,1,LGBM_default,0.7727272727272727,0.7672901261418008,,0.04565882682800293
diabetes,1,RF_default,0.7792207792207793,0.7746353646353646,,0.1403813362121582
diabetes,1,RF_tuned,0.7792207792207793,0.7732131813764467,,0.09769773483276367
diabetes,2,AdaPrune_hybrid,0.6493506493506493,0.5112997238981491,,0.14318561553955078
diabetes,2,AdaPrune_gap,0.6493506493506493,0.5112997238981491,,0.13764333724975586
diabetes,2,AdaPrune_trend,0.922077922077922,0.921343362519833,,0.2156510353088379
diabetes,2,AdaPrune_dataaware,0.7987012987012987,0.7771230238190591,,0.1476304531097412
diabetes,2,XGB_default,0.7402597402597403,0.7364029459974635,,0.04274153709411621
diabetes,2,XGB_tuned,0.7077922077922078,0.7071536358745174,,0.03052687644958496
diabetes,2,LGBM_default,0.7337662337662337,0.7331844237967826,,0.04303121566772461
diabetes,2,RF_default,0.7662337662337663,0.7613786213786214,,0.11725378036499023
diabetes,2,RF_tuned,0.7792207792207793,0.7732131813764467,,0.09029817581176758
diabetes,3,AdaPrune_hybrid,0.6535947712418301,0.5166757084915653,,0.14972329139709473
diabetes,3,AdaPrune_gap,0.6535947712418301,0.5166757084915653,,0.14275264739990234
diabetes,3,AdaPrune_trend,0.9215686274509803,0.9203578907291071,,0.2162644863128662
diabetes,3,AdaPrune_dataaware,0.7254901960784313,0.6592377653540755,,0.14589881896972656
diabetes,3,XGB_default,0.7581699346405228,0.7605161722808781,,0.0523991584777832
diabetes,3,XGB_tuned,0.738562091503268,0.7373425125317963,,0.03052663803100586
diabetes,3,LGBM_default,0.7516339869281046,0.7526792984309324,,0.04804539680480957
diabetes,3,RF_default,0.738562091503268,0.7329188085490607,,0.1362476348876953
diabetes,3,RF_tuned,0.7516339869281046,0.7446117335823217,,0.09203267097473145
diabetes,4,AdaPrune_hybrid,0.6535947712418301,0.5166757084915653,,0.1476757526397705
diabetes,4,AdaPrune_gap,0.6535947712418301,0.5166757084915653,,0.14389491081237793
diabetes,4,AdaPrune_trend,0.954248366013072,0.9536738465812148,,0.22707915306091309
diabetes,4,AdaPrune_dataaware,0.6666666666666666,0.5459857539538815,,0.15186619758605957
diabetes,4,XGB_default,0.6797385620915033,0.6738312364910829,,0.042822837829589844
diabetes,4,XGB_tuned,0.6797385620915033,0.6717766539029825,,0.035669803619384766
diabetes,4,LGBM_default,0.6928104575163399,0.6889529699024423,,0.04762530326843262
diabetes,4,RF_default,0.7712418300653595,0.7696007317110529,,0.11791443824768066
diabetes,4,RF_tuned,0.7189542483660131,0.7195614011662368,,0.0927438735961914
ionosphere,0,AdaPrune_hybrid,0.9295774647887324,0.927684809867041,,0.48804593086242676
ionosphere,0,AdaPrune_gap,0.8873239436619719,0.8850264708820298,,0.22623872756958008
ionosphere,0,AdaPrune_trend,0.9154929577464789,0.914721371708512,,0.3470034599304199
ionosphere,0,AdaPrune_dataaware,0.9014084507042254,0.899980528331278,,0.36110401153564453
ionosphere,0,XGB_default,0.9436619718309859,0.9425132354410148,,0.041617393493652344
ionosphere,0,XGB_tuned,0.9436619718309859,0.9431475811390081,,0.02734231948852539
