method,accuracy_mean,accuracy_std,train_accuracy_mean,train_accuracy_std,gap_mean,gap_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_mean,rank
LGBM_default,0.8933,0.0779,0.9709,0.0463,0.0777,0.0823,0.8902,0.0805,0.9333,0.0788,0.1923,1.0
XGB_default,0.8915,0.0794,0.982,0.0332,0.0906,0.0805,0.8884,0.0821,0.9323,0.0801,0.133,2.0
RF_default,0.89,0.0767,0.9994,0.0023,0.1095,0.0765,0.8854,0.0811,0.936,0.0735,0.1517,3.0
XGB_tuned,0.8874,0.0756,0.9614,0.0457,0.0739,0.0764,0.8837,0.0786,0.9329,0.0745,0.1286,4.0
AdaPrune_trend,0.8696,0.0739,0.93,0.0415,0.0604,0.0577,0.8647,0.0774,0.9259,0.0737,9.9399,5.0
AdaPrune_gap,0.8693,0.0749,0.929,0.0426,0.0598,0.0565,0.8644,0.0783,0.9258,0.0739,9.9683,6.0
AdaPrune_hybrid,0.8691,0.0754,0.9268,0.0439,0.0577,0.0533,0.8642,0.0789,0.9272,0.0733,9.8824,7.0
AdaPrune_data,0.869,0.0757,0.9248,0.0459,0.0558,0.0529,0.8639,0.0797,0.9274,0.0737,9.8804,8.0
